imdb_id,star,genre,runtime,user,critc,dir_popu,ac1_popu,ac2_popu,ac3_popu,total_box_office,n_of_posters,opening_box_office,year,budget_mixed
tt0264464,8.1,Biography,141,709,207,7.709623,12.719049,8.21753,5.503375,355612291,42,30082000,2002,52000000
tt0187738,6.7,Action,117,569,233,4.546367,4.548112,1.744334,3.886291,154338601,38,32528016,2002,54000000
tt0252076,5.1,Comedy,105,242,112,1.64,5.18885,8.275229,1.513217,163838217,16,18711407,2002,55000000
tt0277296,5.5,Action,92,439,167,2.717024,10.726285,1.188874,4.294617,165890634,37,36075875,2002,60000000
tt0258463,7.9,Action,119,869,240,1.096164,3.346804,8.312798,2.889292,214357371,58,27118640,2002,60000000
tt0295178,6.2,Action,94,798,170,2.154684,3.511018,21.325575,4.159698,296338663,28,73071188,2002,63000000
tt0304669,5.6,Comedy,104,121,81,1.361808,2.576039,1.265535,5.295835,172825854,22,29008696,2002,65000000
tt0268380,7.5,Animation,81,471,191,3.055693,2.851015,5.637282,4.102297,386116343,62,46312454,2002,65000000
tt0295701,5.9,Action,124,744,200,3.615519,11.666195,6.966727,4.472348,267200000,24,44506103,2002,70000000
tt0286106,6.7,Drama,106,"2,354",214,1.318891,5.186713,4.782225,2.016072,408269295,29,60116619,2002,70702619
tt0289765,7.2,Crime,124,769,211,1.509598,10.561283,6.742229,8.275229,206455420,46,36540945,2002,78000000
tt0257044,7.7,Crime,117,"1,024",226,1.502734,8.21753,3.177413,1.000017,183354514,45,22079481,2002,80000000
tt0275847,7.2,Animation,85,374,190,3.563952,1.481831,2.489002,3.77212,245800000,31,35260212,2002,80000000
tt0267913,5,Adventure,88,530,135,1.057068,1.65761,2.918871,3.901335,276294164,15,54155312,2002,84000000
tt0167261,8.7,Adventure,179,"2,458",307,3.540982,8.657058,6.614607,8.405778,934699645,113,62007528,2002,94000000
tt0295297,7.4,Adventure,161,880,230,1.891336,5.914038,4.609494,11.655389,878979634,81,88357488,2002,100000000
tt0181689,7.7,Action,145,"1,345",258,7.709623,12.950508,4.444816,3.44527,358824714,41,35677125,2002,102000000
tt0121765,6.6,Action,142,"3,554",304,5.753364,3.475599,14.229283,9.1312,656695615,95,80027814,2002,115000000
tt0120912,6.1,Action,88,613,208,2.012115,12.417972,8.190976,9.207891,441767803,49,52148751,2002,140000000
tt0246460,6.1,Action,133,"1,195",262,3.05709,10.200669,4.645754,11.705044,431942139,106,47072040,2002,142000000
tt0280477,7.1,Crime,101,138,47,1.823733,1.023148,1.000004,3.023565,3809226,3,360772,2003,250000
